scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	genotype/variation	social_status	strain	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924109	SRX656315	SRR1519130	SRA175913	SRS661892	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438849: Low_35Y44; Dinoponera quadriceps; RNA-Seq		Low_35Y44			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	29746203	5949240600	3900402830								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519130/SRR1519130.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519130/SRR1519130	gs://sra-pub-zq-102/SRR1519130/SRR1519130.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924106	SRX656314	SRR1519129	SRA175913	SRS661887	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438848: Low_36W35; Dinoponera quadriceps; RNA-Seq		Low_36W35			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	26293287	5258657400	3350886006								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519129/SRR1519129.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519129/SRR1519129	gs://sra-pub-zq-104/SRR1519129/SRR1519129.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924105	SRX656313	SRR1519128	SRA175913	SRS661886	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438847: Low_23Y59; Dinoponera quadriceps; RNA-Seq		Low_23Y59			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	29232060	5846412000	3702308703								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519128/SRR1519128.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519128/SRR1519128	gs://sra-pub-zq-103/SRR1519128/SRR1519128.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924104	SRX656312	SRR1519127	SRA175913	SRS661888	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438846: Low_10G17; Dinoponera quadriceps; RNA-Seq		Low_10G17			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	32751230	6550246000	4335043880								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519127/SRR1519127.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519127/SRR1519127	gs://sra-pub-zq-102/SRR1519127/SRR1519127.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924103	SRX656311	SRR1519126	SRA175913	SRS661884	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438845: Low_12Y51; Dinoponera quadriceps; RNA-Seq		Low_12Y51			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	28093057	5618611400	3562918326								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519126/SRR1519126.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519126/SRR1519126	gs://sra-pub-zq-104/SRR1519126/SRR1519126.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924102	SRX656310	SRR1519125	SRA175913	SRS661885	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438844: Low_2B82; Dinoponera quadriceps; RNA-Seq		Low_2B82			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	35903676	7180735200	4617096316								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519125/SRR1519125.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519125/SRR1519125	gs://sra-pub-zq-103/SRR1519125/SRR1519125.noqual.1	WT	non-reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924101	SRX656309	SRR1519124	SRA175913	SRS661881	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438843: Alpha_35Y87; Dinoponera quadriceps; RNA-Seq		Alpha_35Y87			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	29761023	5952204600	3886447418								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519124/SRR1519124.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519124/SRR1519124	gs://sra-pub-zq-102/SRR1519124/SRR1519124.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924100	SRX656308	SRR1519123	SRA175913	SRS661882	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438842: Alpha_10B70; Dinoponera quadriceps; RNA-Seq		Alpha_10B70			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	26731502	5346300400	3402033258								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519123/SRR1519123.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519123/SRR1519123	gs://sra-pub-zq-104/SRR1519123/SRR1519123.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924099	SRX656307	SRR1519122	SRA175913	SRS661883	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438841: Alpha_36W26; Dinoponera quadriceps; RNA-Seq		Alpha_36W26			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	30377450	6075490000	3835189113								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519122/SRR1519122.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519122/SRR1519122	gs://sra-pub-zq-103/SRR1519122/SRR1519122.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924098	SRX656306	SRR1519121	SRA175913	SRS661880	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438840: Alpha_23Y79; Dinoponera quadriceps; RNA-Seq		Alpha_23Y79			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	28925508	5785101600	3663456955								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519121/SRR1519121.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519121/SRR1519121	gs://sra-pub-zq-102/SRR1519121/SRR1519121.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924097	SRX656305	SRR1519120	SRA175913	SRS661879	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438839: Alpha_10G48; Dinoponera quadriceps; RNA-Seq		Alpha_10G48			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	29737878	5947575600	3919260965								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519120/SRR1519120.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519120/SRR1519120	gs://sra-pub-zq-104/SRR1519120/SRR1519120.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924096	SRX656304	SRR1519119	SRA175913	SRS661878	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438838: Alpha_12Y30; Dinoponera quadriceps; RNA-Seq		Alpha_12Y30			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	33786008	6757201600	4352842828								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519119/SRR1519119.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519119/SRR1519119	gs://sra-pub-zq-103/SRR1519119/SRR1519119.zq.1	WT	reproductive		2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
Dinoponera quadriceps							adult brain			no		PRJNA255520	SAMN02924095	SRX656303	SRR1519118	SRA175913	SRS661877	SRP044613	Molecular signatures of plastic phenotypes in two eusocial insect species with simple societies	GSM1438837: Alpha_2B84; Dinoponera quadriceps; RNA-Seq		Alpha_2B84			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	39818830	7963766000	5134478667								GEO	GEO: GSE59525	26483466	609295	2015-09-30 16:44:43	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519118/SRR1519118.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1519118/SRR1519118	gs://sra-pub-zq-102/SRR1519118/SRR1519118.zq.1			amplified genome	2759	33208	6656	50557	7399	36668	369122	609295	Dinoponera quadriceps
