scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	biosamplemodel	host	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Anoplolepis gracilipes	body of worker	body of worker								no		PRJNA1192054	SAMN47310450	SRX27964336	SRR32660483	SRA2092159	SRS24330011	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	Total RNA-Seq of Agr: Worker	RNA was extracted from worker by RNeasy Mini Kit (250)	Agr_D4BC_ANOW_total_RNA		Agr_D4BC_ANOW	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	122637166	36791149800	11805289351								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15166184		354296	2025-03-12 04:03:43							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32660/SRR32660483/SRR32660483.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32660483/SRR32660483	gs://sra-pub-zq-100/SRR32660483/SRR32660483.lite.1	D4BC	laboratory	2024-12	Thailand: Maha Sarakham	Invertebrate		2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	eggs	eggs								no		PRJNA1192054	SAMN47310449	SRX27964335	SRR32660484	SRA2092159	SRS24330010	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	Total RNA-Seq of Agr: Eggs	RNA was extracted from eggs by RNeasy Mini Kit (250)	Agr_D4BC_ANOE_total_RNA		Agr_D4BC_ANOE	paired	RNA-Seq	TRANSCRIPTOMIC	other	Illumina NovaSeq 6000	126910569	38073170700	12372393495								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15166184		354296	2025-03-12 04:00:10							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32660/SRR32660484/SRR32660484.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32660484/SRR32660484	gs://sra-pub-zq-100/SRR32660484/SRR32660484.lite.1	D4BC	laboratory	2025-01	Thailand: Maha Sarakham	Invertebrate		2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 6	Whole body of worker 6								no		PRJNA1192054	SAMN45814118	SRX27422367	SRR32073876	SRA2057062	SRS23850721	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker6	RNA was extracted from worker6 by Kapa mRNA library kit			C6_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	29691781	5997739762	2449059164								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073876/SRR32073876.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073876/SRR32073876	gs://sra-pub-zq-105/SRR32073876/SRR32073876.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 5	Whole body of worker 5								no		PRJNA1192054	SAMN45814117	SRX27422366	SRR32073877	SRA2057062	SRS23850720	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker5	RNA was extracted from worker5 by Kapa mRNA library kit			C5_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	32879172	6641592744	2696343122								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073877/SRR32073877.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073877/SRR32073877	gs://sra-pub-zq-105/SRR32073877/SRR32073877.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 4	Whole body of worker 4								no		PRJNA1192054	SAMN45814116	SRX27422365	SRR32073878	SRA2057062	SRS23850719	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker4	RNA was extracted from worker4 by Kapa mRNA library kit			C4_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	36567304	7386595408	3000466412								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073878/SRR32073878.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073878/SRR32073878	gs://sra-pub-zq-105/SRR32073878/SRR32073878.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 3	Whole body of worker 3								no		PRJNA1192054	SAMN45814115	SRX27422364	SRR32073879	SRA2057062	SRS23850718	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker3	RNA was extracted from worker3 by Kapa mRNA library kit			C3_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	34074050	6882958100	2807845484								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:23							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073879/SRR32073879.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073879/SRR32073879	gs://sra-pub-zq-105/SRR32073879/SRR32073879.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 2	Whole body of worker 2								no		PRJNA1192054	SAMN45814114	SRX27422363	SRR32073880	SRA2057062	SRS23850717	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker2	RNA was extracted from worker2 by Kapa mRNA library kit			C2_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	41228667	8328190734	3385291228								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073880/SRR32073880.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073880/SRR32073880	gs://sra-pub-zq-105/SRR32073880/SRR32073880.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 1	Whole body of worker 1								no		PRJNA1192054	SAMN45814113	SRX27422362	SRR32073881	SRA2057062	SRS23850716	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker1	RNA was extracted from worker1 by Kapa mRNA library kit			C1_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	36106579	7293528958	2987408488								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073881/SRR32073881.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073881/SRR32073881	gs://sra-pub-zq-105/SRR32073881/SRR32073881.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of queen	Whole body of queen								no		PRJNA1192054	SAMN45814112	SRX27422361	SRR32073882	SRA2057062	SRS23850715	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Queen	RNA was extracted from queen by RNeasy Mini Kit (250)			Agr_D2QC_ANOQ	paired	RNA-Seq	METAGENOMIC	PolyA	Illumina NovaSeq 6000	76842685	23052805500	6918720827								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:53:15							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073882/SRR32073882.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073882/SRR32073882	gs://sra-pub-zq-105/SRR32073882/SRR32073882.lite.1	D2QC		2024-11-20	Thailand: Maha Sarakham	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of male	Whole body of male								no		PRJNA1192054	SAMN45814111	SRX27422360	SRR32073883	SRA2057062	SRS23850714	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Male	RNA was extracted from male by RNeasy Mini Kit (250)			Agr_D2QC_ANOM	paired	RNA-Seq	METAGENOMIC	PolyA	Illumina NovaSeq 6000	74158696	22247608800	6595623604								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:53:15							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073883/SRR32073883.lite.1	s3://sra-pub-zq-2/SRR32073883/SRR32073883.lite.1	gs://sra-pub-zq-105/SRR32073883/SRR32073883.lite.1	D2QC		2024-11-20	Thailand: Maha Sarakham	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	whole body of worker 7	Whole body of worker 7								no		PRJNA1192054	SAMN45814119	SRX27422359	SRR32073884	SRA2057062	SRS23850713	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Worker7	RNA was extracted from worker7 by Kapa mRNA library kit			C7_L2	paired	RNA-Seq	METAGENOMIC	RANDOM	Illumina NovaSeq 6000	35872410	7246226820	2938836572								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:49:26							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073884/SRR32073884.lite.1	s3://sra-pub-zq-2/SRR32073884/SRR32073884.lite.1	gs://sra-pub-zq-105/SRR32073884/SRR32073884.lite.1	LS		2015	Thailand: Nakhon Nayok	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
Anoplolepis gracilipes	egg	Egg								no		PRJNA1192054	SAMN45814110	SRX27422358	SRR32073885	SRA2057062	SRS23850712	SRP558947	Chromosome-level genome assembly and annotation of the ant Anoplolepis gracilipes	RNA-Seq of Agr: Egg	RNA was extracted from egg by RNeasy Mini Kit (250)			Agr_D2QC_ANOE	paired	RNA-Seq	METAGENOMIC	PolyA	Illumina NovaSeq 6000	82022957	24606887100	7125898213								Institute of Organismic and Molecular Evolution	Johannes Gutenberg University Mainz	SUB15013605		354296	2025-01-22 02:53:15							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32073/SRR32073885/SRR32073885.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32073885/SRR32073885	gs://sra-pub-zq-105/SRR32073885/SRR32073885.lite.1	D2QC		2024-11-20	Thailand: Maha Sarakham	Invertebrate	laboratory	2759	33208	6656	50557	7399	36668	354295	354296	Anoplolepis gracilipes
