scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	sample_name	dev_stage	geo_loc_name	tissue_type	isolation_source	collection_date	breed	cultivar	isolate	strain	ecotype	biosamplemodel	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original	tissue_normalized	tissue_original
Formica exsecta	Emerging worker 4 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094838	DRX111242	DRR118175	DRA006352	DRS086684	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094838		Emerging worker 4 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Worker 4	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	5032199	1440191515	596201160	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118175/DRR118175.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118175/DRR118175	gs://sra-pub-zq-107/DRR118175/DRR118175.zq.1	TA_EW4	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old queen 3 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094825	DRX111229	DRR118162	DRA006352	DRS086671	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094825		Old queen 3 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Queen 3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	7598925	2136747576	879445299	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118162/DRR118162.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118162/DRR118162	gs://sra-pub-zq-107/DRR118162/DRR118162.zq.1	TA_OQ3	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old queen 4 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094826	DRX111230	DRR118163	DRA006352	DRS086672	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094826		Old queen 4 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Queen 4	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	7626762	2173952944	872515770	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118163/DRR118163.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118163/DRR118163	gs://sra-pub-zq-107/DRR118163/DRR118163.zq.1	TA_OQ4	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old worker 4 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094830	DRX111234	DRR118167	DRA006352	DRS086676	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094830		Old worker 4 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Worker 4	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	8115688	2274153918	881120103	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118167/DRR118167.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118167/DRR118167	gs://sra-pub-zq-107/DRR118167/DRR118167.zq.1	TA_OW4	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old worker 2 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094828	DRX111232	DRR118165	DRA006352	DRS086674	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094828		Old worker 2 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Worker 2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	8323338	2345460626	1064505725	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118165/DRR118165.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118165/DRR118165	gs://sra-pub-zq-107/DRR118165/DRR118165.zq.1	TA_OW2	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old queen 2 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094824	DRX111228	DRR118161	DRA006352	DRS086670	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094824		Old queen 2 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Queen 2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	8393850	2427443169	1049528838	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:36							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118161/DRR118161.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118161/DRR118161	gs://sra-pub-zq-107/DRR118161/DRR118161.zq.1	TA_OQ2	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging queen 3 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094833	DRX111237	DRR118170	DRA006352	DRS086679	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094833		Emerging queen 3 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Queen 3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	8583172	2483577800	1068417757	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118170/DRR118170.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118170/DRR118170	gs://sra-pub-zq-107/DRR118170/DRR118170.zq.1	TA_EQ3	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old worker 1 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094827	DRX111231	DRR118164	DRA006352	DRS086673	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094827		Old worker 1 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Worker 1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	9112351	2637501539	1015502387	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118164/DRR118164.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118164/DRR118164	gs://sra-pub-zq-107/DRR118164/DRR118164.zq.1	TA_OW1	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging queen 1 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094831	DRX111235	DRR118168	DRA006352	DRS086677	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094831		Emerging queen 1 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Queen 1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	9468130	2705586909	1059404065	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118168/DRR118168.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118168/DRR118168	gs://sra-pub-zq-107/DRR118168/DRR118168.zq.1	TA_EQ1	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging worker 3 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094837	DRX111241	DRR118174	DRA006352	DRS086683	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094837		Emerging worker 3 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Worker 3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	9871491	2736891552	1159650597	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118174/DRR118174.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118174/DRR118174	gs://sra-pub-zq-107/DRR118174/DRR118174.zq.1	TA_EW3	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging queen 4 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094834	DRX111238	DRR118171	DRA006352	DRS086680	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094834		Emerging queen 4 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Queen 4	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	9861006	2744365026	1099757407	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118171/DRR118171.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118171/DRR118171	gs://sra-pub-zq-107/DRR118171/DRR118171.zq.1	TA_EQ4	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging worker 1 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094835	DRX111239	DRR118172	DRA006352	DRS086681	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094835		Emerging worker 1 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Worker 1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	9991753	2878872674	1127498057	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118172/DRR118172.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118172/DRR118172	gs://sra-pub-zq-107/DRR118172/DRR118172.zq.1	TA_EW1	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging worker 2 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094836	DRX111240	DRR118173	DRA006352	DRS086682	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094836		Emerging worker 2 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Worker 2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	10225254	2910777983	1245092405	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118173/DRR118173.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118173/DRR118173	gs://sra-pub-zq-107/DRR118173/DRR118173.zq.1	TA_EW2	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Emerging queen 2 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094832	DRX111236	DRR118169	DRA006352	DRS086678	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094832		Emerging queen 2 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Emerging Queen 2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	10271923	2947542351	1133921464	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118169/DRR118169.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118169/DRR118169	gs://sra-pub-zq-107/DRR118169/DRR118169.zq.1	TA_EQ2	Emerging adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	whole body	whole_body		female				yes	yes	no		PRJNA213662	SAMN03799241	SRX1075061	SRR2080395	SRA268711	SRS973757	SRP028315	Formica exsecta Transcriptome or Gene expression	Formica Exsecta Transcriptome FIMM Read data		Sample10_NQ	FIMM Sequencing of Sample10_NQ	Sample10_NQ	paired	RNA-Seq	METATRANSCRIPTOMIC	cDNA	Illumina HiSeq 1000	15885264	3145282272	2191052614		0.0	198	0	Application Read	Forward	1		Department of Biosciences, University of Helsinki	FIMM	24260298.0	72781	2015-07-06 08:28:22							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/080/SRR2080395/SRR2080395.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2080395/SRR2080395	gs://sra-pub-zq-102/SRR2080395/SRR2080395.zq.1		New Queen	Finland: Tvarminne Zoological Station		female	missing	missing	missing	missing	missing	missing	Invertebrate	2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	whole_body	whole_body
Formica exsecta	Old worker 3 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094829	DRX111233	DRR118166	DRA006352	DRS086675	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094829		Old worker 3 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Worker 3	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	11303946	3223967621	1365613809	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118166/DRR118166.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118166/DRR118166	gs://sra-pub-zq-107/DRR118166/DRR118166.zq.1	TA_OW3	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	Old queen 1 sample for RNA sequencing	brain		female				yes	yes	no		PRJDB6378	SAMD00094823	DRX111227	DRR118160	DRA006352	DRS086669	DRP004770	Changes in gene methylation and expression accompany caste specialization and ageing in a social insect	NextSeq 500 paired end sequencing of SAMD00094823		Old queen 1 sample for RNA sequencing	Brain transcriptomic raw data	RNA sequencing brain Old Queen 1	paired	RNA-Seq	TRANSCRIPTOMIC	Reduced Representation	NextSeq 500	12410164	3611934126	1396446042	150.0		100	0	Application Read	Forward	1	Centre of Excellence in Biological Interactions, Department of Biosciences, University of Helsinki	HELSINKI	DRA006352		72781	2019-01-28 18:04:36							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/118/DRR118160/DRR118160.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118160/DRR118160	gs://sra-pub-zq-107/DRR118160/DRR118160.zq.1	TA_OQ1	Old adult	Finland:Hanko, Tvarminne zoological station	Brain									2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	brain	brain
Formica exsecta	whole body	whole_body		female				yes	yes	no		PRJNA213662	SAMN03799245	SRX1075065	SRR2080398	SRA268711	SRS973752	SRP028315	Formica exsecta Transcriptome or Gene expression	Formica Exsecta Transcriptome FIMM Read data		Sample14_OW	FIMM Sequencing of Sample14_OW	Sample14_OW	paired	RNA-Seq	METATRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	21540462	4265011476	2974388163		0.0	198	0	Application Read	Forward	1		Department of Biosciences, University of Helsinki	FIMM	24260298.0	72781	2015-07-08 10:01:14							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/080/SRR2080398/SRR2080398.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2080398/SRR2080398	gs://sra-pub-zq-102/SRR2080398/SRR2080398.zq.1		Old Worker	Finland: Tvarminne Zoological Station		female	missing	missing	missing	missing	missing	missing	Invertebrate	2759	33208	6656	50557	7399	36668	72766	72781	Formica exsecta	whole_body	whole_body
