scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Odontomachus brunneus	whole eggs	whole eggs						yes	yes	no		PRJNA432981	SAMN08712593	SRX3924090	SRR6984010	SRA687095	SRS3158408	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 1 pooled eggs	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 1 pooled eggs	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	27729228	5545845600	3708951250								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984010.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984010/SRR6984010	gs://sra-pub-zq-108/SRR6984010/SRR6984010.zq.1
Odontomachus brunneus	whole eggs	whole eggs						yes	yes	no		PRJNA432981	SAMN08712599	SRX3924076	SRR6984024	SRA687095	SRS3158396	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 15 eggs	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 15 eggs	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	32555954	10417905280	4827278526								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984024.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984024/SRR6984024	gs://sra-pub-zq-108/SRR6984024/SRR6984024.zq.1
Odontomachus brunneus	whole eggs	whole eggs						yes	yes	no		PRJNA432981	SAMN08712605	SRX3924070	SRR6984030	SRA687095	SRS3158404	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 15 eggs	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 15 eggs	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	37749254	12079761280	5680060182								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984030.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984030/SRR6984030	gs://sra-pub-zq-108/SRR6984030/SRR6984030.zq.1
Odontomachus brunneus	whole adult	whole adult		male				yes	yes	no		PRJNA432981	SAMN08712595	SRX3924088	SRR6984012	SRA687095	SRS3158406	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 single male	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 single male	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	38336867	12267797440	5802127660								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984012.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984012/SRR6984012	gs://sra-pub-zq-108/SRR6984012/SRR6984012.zq.1
Odontomachus brunneus	whole adult	whole adult		female				yes	yes	no		PRJNA432981	SAMN08712596	SRX3924087	SRR6984013	SRA687095	SRS3158405	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 single non-reproductive worker	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 single non-reproductive worker	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	41523475	13287512000	6374609062								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984013.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984013/SRR6984013	gs://sra-pub-zq-108/SRR6984013/SRR6984013.zq.1
Odontomachus brunneus	whole adult	whole adult		male				yes	yes	no		PRJNA432981	SAMN08712588	SRX3924082	SRR6984018	SRA687095	SRS3158402	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single male (queenless colony)	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single male (queenless colony)	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	25435475	5087095000	3439148947								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984018.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984018/SRR6984018	gs://sra-pub-zq-108/SRR6984018/SRR6984018.zq.1
Odontomachus brunneus	whole adult	whole adult		female				yes	yes	no		PRJNA432981	SAMN08712589	SRX3924079	SRR6984021	SRA687095	SRS3158399	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 1 single non-reproductive worker	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 1 single non-reproductive worker	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	26402290	5280458000	3598270497								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984021.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984021/SRR6984021	gs://sra-pub-zq-108/SRR6984021/SRR6984021.zq.1
Odontomachus brunneus	whole adult	whole adult		female				yes	yes	no		PRJNA432981	SAMN08712592	SRX3924078	SRR6984022	SRA687095	SRS3158398	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, ABS1 single reproductive worker (queenless colony)	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_ABS1 single reproductive worker (queenless colony)	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	27399017	5479803400	3716028195								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984022.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984022/SRR6984022	gs://sra-pub-zq-108/SRR6984022/SRR6984022.zq.1
Odontomachus brunneus	whole adult	whole adult		female				yes	yes	no		PRJNA432981	SAMN08712604	SRX3924069	SRR6984031	SRA687095	SRS3158413	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single reproductive worker	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single reproductive worker	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	32377343	10360749760	4898363683								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984031.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984031/SRR6984031	gs://sra-pub-zq-108/SRR6984031/SRR6984031.zq.1
Odontomachus brunneus	whole adult	whole adult		female				yes	yes	no		PRJNA432981	SAMN08712598	SRX3924066	SRR6984034	SRA687095	SRS3158389	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 single reproductive worker	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 single reproductive worker	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	38129150	12201328000	5736655288								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984034.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984034/SRR6984034	gs://sra-pub-zq-108/SRR6984034/SRR6984034.zq.1
Odontomachus brunneus	whole adult	whole adult		male				yes	yes	no		PRJNA432981	SAMN08712601	SRX3924044	SRR6984056	SRA687095	SRS3158374	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single male	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single male	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	37744987	12078395840	5729725841								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984056.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984056/SRR6984056	gs://sra-pub-zq-108/SRR6984056/SRR6984056.zq.1
Odontomachus brunneus	whole larva	whole larva						yes	yes	no		PRJNA432981	SAMN08712587	SRX3924081	SRR6984019	SRA687095	SRS3158401	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 1 single larva	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 1 single larva	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	27478177	5495635400	3691257100								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984019.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984019/SRR6984019	gs://sra-pub-zq-108/SRR6984019/SRR6984019.zq.1
Odontomachus brunneus	whole larva	whole larva						yes	yes	no		PRJNA432981	SAMN08712600	SRX3924073	SRR6984027	SRA687095	SRS3158393	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single larva	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single larva	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	35822516	11463205120	5380593311								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984027.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984027/SRR6984027	gs://sra-pub-zq-108/SRR6984027/SRR6984027.zq.1
Odontomachus brunneus	whole larva	whole larva						yes	yes	no		PRJNA432981	SAMN08712594	SRX3924064	SRR6984036	SRA687095	SRS3158388	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 single larva	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 single larva	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	35116439	11237260480	5275271857								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984036.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984036/SRR6984036	gs://sra-pub-zq-108/SRR6984036/SRR6984036.zq.1
Odontomachus brunneus	whole pupa	whole pupa						yes	yes	no		PRJNA432981	SAMN08712590	SRX3924080	SRR6984020	SRA687095	SRS3158400	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 1 single pupa	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 1 single pupa	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	27707085	5541417000	3737729695								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984020.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984020/SRR6984020	gs://sra-pub-zq-108/SRR6984020/SRR6984020.zq.1
Odontomachus brunneus	whole queen	whole queen		female				yes	yes	no		PRJNA432981	SAMN08712591	SRX3924077	SRR6984023	SRA687095	SRS3158397	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 1 single queen	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 1 single queen	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	29509329	5901865800	3964492417								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984023.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984023/SRR6984023	gs://sra-pub-zq-108/SRR6984023/SRR6984023.noqual.1
Odontomachus brunneus	whole queen	whole queen		female				yes	yes	no		PRJNA432981	SAMN08712603	SRX3924068	SRR6984032	SRA687095	SRS3158392	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single queen	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single queen	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	37760637	12083403840	5687701281								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984032.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984032/SRR6984032	gs://sra-pub-zq-108/SRR6984032/SRR6984032.zq.1
Odontomachus brunneus	whole queen	whole queen		female				yes	yes	no		PRJNA432981	SAMN08712597	SRX3924067	SRR6984033	SRA687095	SRS3158391	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 2 single queen	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 2 single queen	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	37606960	12034227200	6054249174								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984033.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984033/SRR6984033	gs://sra-pub-zq-108/SRR6984033/SRR6984033.zq.1
Odontomachus brunneus	whole adult (non-reproductive worker)	whole adult (non-reproductive worker)		female				yes	yes	no		PRJNA432981	SAMN08712602	SRX3924043	SRR6984057	SRA687095	SRS3158373	SRP139571	Odontomachus brunneus RNAseq	RNA-Seq from Odontomachus brunneus, Ranch 3 single non-reproductive worker	Construction of libraries and sequencing on Illumina instruments were performed at the W. M. Keck Center for Comparative and Functional Genomics at the University of Illinois at Urbana-Champaign.			Odontomachus brunneus_Ranch 3 single non-reproductive worker	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	39990395	12796926400	6094149143								Entomology	University of Illinois at Urbana-Champaign	SUB3872637		486640	2020-02-14 14:00:44							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/984/SRR6984057.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6984057/SRR6984057	gs://sra-pub-zq-108/SRR6984057/SRR6984057.zq.1
