scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	sample_name	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original	tissue_normalized	tissue_original	mapping_rate
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025743	DRX027182	DRR030166	DRA003040	DRS019035	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025743	NA	RNA of Vollenhovia emeryi. Worker.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	30798409	5666907256	3421984811	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030166/DRR030166.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030166/DRR030166	gs://sra-pub-zq-102/DRR030166/DRR030166.zq.1	V.EMERYI.WORKER	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	77.3
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025741	DRX027171	DRR030155	DRA003040	DRS019033	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025741	NA	RNA of Vollenhovia emeryi. Male.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	33618984	6185893056	3771985068	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030155/DRR030155.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030155/DRR030155	gs://sra-pub-zq-104/DRR030155/DRR030155.noqual.1	V.EMERYI.MALE	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	66.5
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025741	DRX027170	DRR030154	DRA003040	DRS019033	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025741	NA	RNA of Vollenhovia emeryi. Male.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	33624927	6186986568	3780840224	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030154/DRR030154.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030154/DRR030154	gs://sra-pub-zq-102/DRR030154/DRR030154.zq.1	V.EMERYI.MALE	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	76.3
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025742	DRX027175	DRR030159	DRA003040	DRS019034	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025742	NA	RNA of Vollenhovia emeryi. Queen.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	34074060	6269627040	3813073348	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030159/DRR030159.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030159/DRR030159	gs://sra-pub-zq-103/DRR030159/DRR030159.noqual.1	V.EMERYI.QUEEN	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	79.9
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025742	DRX027173	DRR030157	DRA003040	DRS019034	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025742	NA	RNA of Vollenhovia emeryi. Queen.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	35251000	6486184000	3905349511	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030157/DRR030157.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030157/DRR030157	gs://sra-pub-zq-102/DRR030157/DRR030157.zq.1	V.EMERYI.QUEEN	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	71
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025743	DRX027179	DRR030163	DRA003040	DRS019035	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025743	NA	RNA of Vollenhovia emeryi. Worker.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	36049328	6633076352	4002441859	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030163/DRR030163.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030163/DRR030163	gs://sra-pub-zq-102/DRR030163/DRR030163.zq.1	V.EMERYI.WORKER	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	75.7
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025743	DRX027181	DRR030165	DRA003040	DRS019035	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025743	NA	RNA of Vollenhovia emeryi. Worker.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	39661702	7297753168	4436827273	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030165/DRR030165.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030165/DRR030165	gs://sra-pub-zq-104/DRR030165/DRR030165.zq.1	V.EMERYI.WORKER	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	78.7
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025742	DRX027174	DRR030158	DRA003040	DRS019034	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025742	NA	RNA of Vollenhovia emeryi. Queen.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	40115941	7381333144	4446000650	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030158/DRR030158.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030158/DRR030158	gs://sra-pub-zq-103/DRR030158/DRR030158.noqual.1	V.EMERYI.QUEEN	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	79.1
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025742	DRX027176	DRR030160	DRA003040	DRS019034	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025742	NA	RNA of Vollenhovia emeryi. Queen.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	41374614	7612928976	4577981170	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030160/DRR030160.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030160/DRR030160	gs://sra-pub-zq-102/DRR030160/DRR030160.noqual.1	V.EMERYI.QUEEN	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	71
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025741	DRX027169	DRR030153	DRA003040	DRS019033	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025741	NA	RNA of Vollenhovia emeryi. Male.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	42490787	7818304808	4723141867	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:01	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030153/DRR030153.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030153/DRR030153	gs://sra-pub-zq-102/DRR030153/DRR030153.noqual.1	V.EMERYI.MALE	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	75.5
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025743	DRX027178	DRR030162	DRA003040	DRS019035	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025743	NA	RNA of Vollenhovia emeryi. Worker.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	42914611	7896288424	4753252868	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030162/DRR030162.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030162/DRR030162	gs://sra-pub-zq-103/DRR030162/DRR030162.zq.1	V.EMERYI.WORKER	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	75
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025742	DRX027177	DRR030161	DRA003040	DRS019034	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025742	NA	RNA of Vollenhovia emeryi. Queen.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	43416542	7988643728	4829068384	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030161/DRR030161.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030161/DRR030161	gs://sra-pub-zq-103/DRR030161/DRR030161.zq.1	V.EMERYI.QUEEN	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	67.8
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025741	DRX027172	DRR030156	DRA003040	DRS019033	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025741	NA	RNA of Vollenhovia emeryi. Male.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	49076832	9030137088	5489811329	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030156/DRR030156.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030156/DRR030156	gs://sra-pub-zq-104/DRR030156/DRR030156.zq.1	V.EMERYI.MALE	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	77.5
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025741	DRX027168	DRR030152	DRA003040	DRS019033	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025741	NA	RNA of Vollenhovia emeryi. Male.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	50380803	9270067752	5681352057	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030152/DRR030152.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030152/DRR030152	gs://sra-pub-zq-103/DRR030152/DRR030152.zq.1	V.EMERYI.MALE	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	79.1
Vollenhovia emeryi	unknown	NA	NA	NA	NA	NA	NA	yes	yes	no	NA	PRJDB3517	SAMD00025743	DRX027180	DRR030164	DRA003040	DRS019035	DRP002519	Genomic and transcriptome study of Vollenhovia emeryi	Illumina HiSeq 2000 paired end sequencing of SAMD00025743	NA	RNA of Vollenhovia emeryi. Worker.	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	52916812	9736693408	5897760495	92	NA	92	0	Application Read	Forward	1	Ecology and Evolution	OIST	DRA003040	NA	411798	2015-02-21 10:24:00	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/030/DRR030164/DRR030164.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR030164/DRR030164	gs://sra-pub-zq-104/DRR030164/DRR030164.zq.1	V.EMERYI.WORKER	2759	33208	6656	50557	7399	36668	369248	411798	Vollenhovia emeryi	NA	NA	80.1
