scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	sample_name	isolate	collection_date	env_biome	geo_loc_name	tissue_type	dev_stage	lat_lon	num_replicons	estimated_size	ploidy	propagation	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original	mapping_rate
Wasmannia auropunctata	W.auropunctata queen (1) in French Guiana: the population employs clonal reproduction system. Adult queen (1)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024755	DRX026142	DRR029067	DRA002958	DRS017025	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024755	NA	W.auropunctata queen (1) in French Guiana: the population employs clonal reproduction system. Adult queen (1)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	5269986	801037872	446136769	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:37	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029067/DRR029067.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029067/DRR029067	gs://sra-pub-zq-102/DRR029067/DRR029067.zq.1	WASAURFGQ1	WASQ1	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	80
Wasmannia auropunctata	W.auropunctata queen (10) in French Guiana: the population employs clonal reproduction system. Adult queen (10)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024756	DRX026143	DRR029068	DRA002958	DRS017026	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024756	NA	W.auropunctata queen (10) in French Guiana: the population employs clonal reproduction system. Adult queen (10)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	6384422	970432144	521862174	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:35	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029068/DRR029068.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029068/DRR029068	gs://sra-pub-zq-102/DRR029068/DRR029068.zq.1	WASAURFGQ10	WASQ10	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	77.4
Wasmannia auropunctata	W.auropunctata queen (11)in French Guiana: the population employs clonal reproduction system. Adult queen (11)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024757	DRX026144	DRR029069	DRA002958	DRS017027	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024757	NA	W.auropunctata queen (11)in French Guiana: the population employs clonal reproduction system. Adult queen (11)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	5184151	787990952	441050908	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:36	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029069/DRR029069.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029069/DRR029069	gs://sra-pub-zq-102/DRR029069/DRR029069.zq.1	WASAURFGQ11	WASQ11	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	74.7
Wasmannia auropunctata	W.auropunctata queen (12) in French Guiana: the population employs clonal reproduction system. Adult queen (12)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024758	DRX026145	DRR029070	DRA002958	DRS017028	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024758	NA	W.auropunctata queen (12) in French Guiana: the population employs clonal reproduction system. Adult queen (12)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	6525647	991898344	555734661	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:36	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029070/DRR029070.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029070/DRR029070	gs://sra-pub-zq-102/DRR029070/DRR029070.noqual.1	WASAURFGQ12	WASQ12	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	75.3
Wasmannia auropunctata	W.auropunctata queen (2) in French Guiana: the population employs clonal reproduction system. Adult queen (2)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024754	DRX026141	DRR029066	DRA002958	DRS017024	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024754	NA	W.auropunctata queen (2) in French Guiana: the population employs clonal reproduction system. Adult queen (2)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	5831551	886395752	498563933	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:37	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029066/DRR029066.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029066/DRR029066	gs://sra-pub-zq-103/DRR029066/DRR029066.zq.1	WASAURFGG2	WASQ2	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	75.2
Wasmannia auropunctata	W.auropunctata queen (3) in French Guiana: the population employs clonal reproduction system. Adult queen (3)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024759	DRX026146	DRR029071	DRA002958	DRS017029	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024759	NA	W.auropunctata queen (3) in French Guiana: the population employs clonal reproduction system. Adult queen (3)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	6105591	928049832	525215058	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:37	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029071/DRR029071.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029071/DRR029071	gs://sra-pub-zq-103/DRR029071/DRR029071.zq.1	WASAURFGQ3	WASQ3	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	78
Wasmannia auropunctata	W.auropunctata queen (3) in hawai: the population employs clonal reproduction system. Adult queen (3)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024784	DRX026170	DRR029095	DRA002958	DRS017053	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024784	NA	W.auropunctata queen (3) in hawai: the population employs clonal reproduction system. Adult queen (3)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	9702700	1454600689	921371548	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:35	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029095/DRR029095.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029095/DRR029095	gs://sra-pub-zq-104/DRR029095/DRR029095.noqual.1	WASAURHAWQ3	WASHQ3	2012-02/2012-03	forest	USA: Hawai, Hilo Experimental farm	whole body except abdomen	adult	19.64052 N 155.1106505 W	5	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	68.8
Wasmannia auropunctata	W.auropunctata queen (4) in French Guiana: the population employs clonal reproduction system. Adult queen (4)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024760	DRX026147	DRR029072	DRA002958	DRS017030	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024760	NA	W.auropunctata queen (4) in French Guiana: the population employs clonal reproduction system. Adult queen (4)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	6140581	933368312	519739242	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:37	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029072/DRR029072.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029072/DRR029072	gs://sra-pub-zq-102/DRR029072/DRR029072.zq.1	WASAURFGQ4	WASQ4	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	75.7
Wasmannia auropunctata	W.auropunctata queen (5) in French Guiana: the population employs clonal reproduction system. Adult queen (5)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024761	DRX026148	DRR029073	DRA002958	DRS017031	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024761	NA	W.auropunctata queen (5) in French Guiana: the population employs clonal reproduction system. Adult queen (5)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	7303722	1110165744	625589231	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:37	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029073/DRR029073.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029073/DRR029073	gs://sra-pub-zq-104/DRR029073/DRR029073.zq.1	WASAURFGQ5	WASQ5	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	80.7
Wasmannia auropunctata	W.auropunctata queen (6) in French Guiana: the population employs clonal reproduction system. Adult queen (6)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024762	DRX026149	DRR029074	DRA002958	DRS017032	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024762	NA	W.auropunctata queen (6) in French Guiana: the population employs clonal reproduction system. Adult queen (6)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	4707927	715604904	394462250	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:36	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029074/DRR029074.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029074/DRR029074	gs://sra-pub-zq-104/DRR029074/DRR029074.noqual.1	WASAURFGQ6	WASQ6	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	77.5
Wasmannia auropunctata	W.auropunctata queen (7) in French Guiana: the population employs clonal reproduction system. Adult queen (7)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024763	DRX026150	DRR029075	DRA002958	DRS017033	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024763	NA	W.auropunctata queen (7) in French Guiana: the population employs clonal reproduction system. Adult queen (7)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	4128170	627481840	349651527	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:36	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029075/DRR029075.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029075/DRR029075	gs://sra-pub-zq-104/DRR029075/DRR029075.zq.1	WASAURFGQ7	WASQ7	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	73.8
Wasmannia auropunctata	W.auropunctata queen (8) in French Guiana: the population employs clonal reproduction system. Adult queen (8)	NA	NA	female	NA	NA	NA	yes	yes	no	NA	PRJDB3442	SAMD00024764	DRX026151	DRR029076	DRA002958	DRS017034	DRP002449	Wasmannia genome. RNA-seq data fastq reads.	Illumina Genome Analyzer II paired end sequencing of SAMD00024764	NA	W.auropunctata queen (8) in French Guiana: the population employs clonal reproduction system. Adult queen (8)	NA	NA	paired	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina Genome Analyzer II	5596198	850622096	474031545	500	NA	184	0	Application Read	Forward	1	Evolution and Ecology Unit	OIST	DRA002958	NA	64793	2015-01-26 10:28:36	NA	NA	NA	NA	NA	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/029/DRR029076/DRR029076.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR029076/DRR029076	gs://sra-pub-zq-103/DRR029076/DRR029076.zq.1	WASAURFGQ8	WASQ8	2012-02/2012-03	forest	French Guiana: Kourou	whole body except abdomen	adult	5.067 N 52.97901 W	1	314000000	diploid	sexual	2759	33208	6656	50557	7399	36668	64792	64793	Wasmannia auropunctata	73.1
